EmployeeID,FirstName,MiddleInitial,LastName,BirthDate,Gender,CityID,HireDate
1,Nicole,T,Fuller,3/7/1981,F,80,6/20/2011
2,Christine,W,Palmer,1/25/1968,F,4,4/27/2011
3,Pablo,Y,Cline,2/9/1963,M,70,3/30/2012
4,Darnell,O,Nielsen,2/6/1989,M,39,3/6/2014
5,Desiree,L,Stuart,5/3/1963,F,23,11/16/2014
6,Holly,E,Collins,1/13/1987,M,65,6/22/2013
7,Chadwick,P,Cook,5/2/1970,M,39,7/10/2016
8,Julie,E,Dyer,12/13/1956,M,18,10/14/2014
9,Daphne,X,King,5/2/1956,F,39,4/17/2013
10,Jean,P,Vang,12/30/1963,M,9,7/23/2012
11,Sonya,E,Dickson,1/14/1976,F,12,8/10/2016
12,Lindsay,M,Chen,9/3/1951,F,58,11/3/2011
13,Katina,Y,Marks,4/18/1963,M,68,12/12/2011
14,Wendi,G,Buckley,9/5/1961,M,32,7/11/2016
15,Kari,D,Finley,2/17/1972,M,92,7/13/2014
16,Chadwick,U,Walton,7/7/1951,M,28,2/10/2017
17,Seth,D,Franco,8/29/1989,M,80,7/11/2010
18,Warren,C,Bartlett,3/9/1964,M,58,2/22/2010
19,Bernard,L,Moody,3/22/1970,M,54,11/12/2013
20,Shelby,P,Riddle,6/13/1964,M,14,3/24/2013
21,Devon,D,Brewer,4/25/1966,M,65,1/24/2016
22,Tonia,O,Mc Millan,3/2/1952,F,53,11/25/2015
23,Janet,K,Flowers,3/1/1979,F,7,5/12/2010
